access-approval	Configure approvers and inspect an approval request	Approval versus transparency and key justification boundaries
cloud-billing	Link a project and configure a cost budget	Billing IAM and budget alerts versus spending controls
cloud-hub	Inspect application resource health across projects	-
cloud-identity	Create a group and assign cloud access	Identity lifecycle and federation boundaries
cloud-marketplace	Evaluate and deploy a selected marketplace solution	-
cloud-quotas	Inspect usage and request a quota adjustment	-
config-connector	Reconcile a cloud resource from a Kubernetes manifest	Controller identity and namespace isolation
gcloud-cli	Select credentials and project then inspect a resource	-
identity-platform	Configure an identity provider and test sign-in	Tenant isolation and application authorization boundaries
infra-manager	Deploy a Terraform configuration and inspect its state	State access and deployment service account separation
managed-microsoft-ad	Create a managed domain and join a workload	Trust relationships and hybrid DNS
recommender	Inspect a recommendation and evaluate its impact	-
service-catalog	Publish an approved solution and grant catalog access	-
service-usage	Enable a project API and inspect service permissions	-
agent-platform-vision	Connect a video stream to an analysis application	Stream ingestion and output storage boundaries
cloud-tpu	Provision accelerator capacity and run a small ML job	Accelerator topology and utilization decisions
colab-enterprise	Create a notebook runtime and access a dataset	Runtime service account and network isolation
deep-learning-containers	Select a framework image and run a training container	-
deep-learning-vm	Launch a framework VM and verify accelerator support	-
dialogflow-es	Create an intent and test a conversation	Webhook authentication and failure handling
docai	Create a document processor and inspect extracted fields	Document storage permissions and processor selection
enterprise-knowledge-graph	Prepare entity input and inspect reconciliation output	Entity matching and data governance decisions
gemini-enterprise-agent-platform	Deploy an agent with a tool and evaluate its responses	Agent identity and tool authorization boundaries
live-stream-api	Create a channel and verify a live output stream	Stream redundancy and latency decisions
speech-to-text	Transcribe an audio sample and inspect recognition output	-
tensorflow-enterprise	NONE:Enterprise TensorFlow distribution and support concepts are better taught through EL10 plus the training runtime workflows; it is not an independent managed resource to provision	-
text-to-speech	Synthesize audio using a selected voice	-
transcoder-api	Create a video transcoding job and inspect its output	-
translation	Translate a sample and test a terminology glossary	-
video-intelligence-api	Annotate a video and inspect timestamped findings	-
video-stitcher-api	Configure an ad-insertion session and inspect playback	Live versus VOD insertion and ad failure handling
vision-api	Submit an image and inspect annotation results	-
api-gateway	Deploy an API definition and invoke its backend	Caller authentication versus backend identity
apigee	Deploy an API proxy with a policy and test requests	Proxy policies and north-south trust boundaries
app-design-center	Model an application and inspect its deployment plan	-
app-hub	Register application resources and inspect ownership	-
application-integration	Build an integration and test a trigger	Connector credentials and retry behavior
artifact-analysis	Inspect image vulnerabilities and evaluate release eligibility	Vulnerability discovery versus deployment enforcement
artifact-registry	Create a repository then push and pull an image	Repository IAM and regional placement
cloud-build	Run a build and publish its artifact	Build identity and supply chain provenance
cloud-code	Configure an IDE workspace and deploy a sample application	-
cloud-deploy	Create a delivery pipeline and promote a release	Approval gates and rollback decisions
cloud-scheduler	Schedule an authenticated HTTP target and inspect execution	-
cloud-shell	Authorize a shell session and run a project command	-
cloud-source-repositories	Configure an eligible repository and clone it	-
cloud-tasks	Enqueue a task and verify authenticated delivery	Retries, deduplication windows and worker idempotency
cloud-workstations	Create a workstation configuration and start a session	Private access and developer environment governance
developer-connect	Create a source connection and verify repository access	-
developer-device-platform	Register a device target and run a remote operation	Device identity and access separation
eventarc	Create an event trigger and verify target delivery	Delivery identity, retries and event filtering
integration-connectors	Configure a connection and test an operation	Connector authentication and network reachability
secure-source-manager	Create a repository and configure developer access	Private instance access and source permissions
service-infrastructure	Register a managed service and exercise consumer access	Producer versus consumer control-plane boundaries
software-supply-chain-security	NONE:This is an umbrella solution; use concrete Artifact Registry, Artifact Analysis, Cloud Build and Binary Authorization walkthroughs to avoid inventing a separate provisioning console	-
